X,Y,class
0.1105714286,0.0383,red
0.1197857143,0.05,red
0.1412857143,0.0317,red
0.129,0.0267,red
0.1505,0.0583,red
0.172,0.06,red
0.172,0.0317,red
0.2272857143,0.0317,red
0.215,0.0233,red
0.1904285714,0.0283,red
0.2119285714,0.0367,red
0.2027142857,0.0367,red
0.1996428571,0.0433,red
0.2119285714,0.0417,red
0.1996428571,0.0367,red
0.2242142857,0.0367,red
0.2211428571,0.0317,red
0.2119285714,0.0283,red
0.2211428571,0.035,red
0.2334285714,0.04,red
0.2426428571,0.0083,red
0.2242142857,0.0117,red
0.2395714286,0.1133,red
0.2487857143,0.1033,red
0.258,0.105,red
0.258,0.0433,red
0.2518571429,0.0867,red
0.3071428571,0.0867,red
0.3347857143,0.0483,red
0.301,0.045,red
0.3071428571,0.0083,red
0.2887142857,0.01,red
0.3071428571,0.04,red
0.3194285714,0.0383,red
0.3225,0.0483,red
0.3378571429,0.0467,red
0.3102142857,0.055,red
0.3255714286,0.055,red
0.3347857143,0.05,red
0.3286428571,0.0483,red
0.3286428571,0.0383,red
0.3347857143,0.0417,red
0.3593571429,0.0317,red
0.3562857143,0.03,red
0.344,0.04,red
0.3562857143,0.0367,red
0.3562857143,0.055,red
0.3655,0.055,red
0.3562857143,0.1083,red
0.3470714286,0.11,red
0.3532142857,0.1283,red
0.3501428571,0.1133,red
0.3747142857,0.075,red
0.3593571429,0.0717,red
0.3624285714,0.0383,red
0.3747142857,0.035,red
0.3716428571,0.0233,red
0.3900714286,0.035,red
0.3962142857,0.0517,red
0.4238571429,0.0483,red
0.4115714286,0.0433,red
0.4054285714,0.045,red
0.4115714286,0.03,red
0.4115714286,0.0283,red
0.4177142857,0.0167,red
0.4484285714,0.02,red
0.4238571429,0.015,red
0.4146428571,0.0183,red
0.4054285714,0.0117,red
0.4146428571,0.0133,red
0.4238571429,0.0083,red
0.4054285714,0.0117,red
0.4392142857,0.0033,red
0.43,0.005,red
0.4146428571,0.02,red
0.4054285714,0.02,red
0.4115714286,0.035,red
0.4177142857,0.0317,red
0.4269285714,0.0117,red
0.4054285714,0.0083,red
0.4177142857,0.0917,red
0.4115714286,0.095,red
0.4177142857,0.125,red
0.4207857143,0.1117,red
0.4207857143,0.0417,red
0.43,0.04,red
0.4269285714,0.0033,red
0.4392142857,0.0033,red
0.4453571429,0.0317,red
0.4330714286,0.0283,red
0.4515,0.0583,red
0.4422857143,0.0533,red
0.4330714286,0.01,red
0.473,0.03,red
0.4422857143,0.06,red
0.4238571429,0.07,red
0.43,0.0517,red
0.43,0.045,red
0.4238571429,0.045,red
0.4238571429,0.2283,red
0.3931428571,0.2067,red
0.3962142857,0.2133,red
0.0883,0.0183,blue
0.0883,0.0167,blue
0.0783,0.0317,blue
0.0817,0.0333,blue
0.0867,0.0517,blue
0.0867,0.0533,blue
0.1033,0.0817,blue
0.1033,0.0833,blue
0.13,0.1283,blue
0.1317,0.1317,blue
0.1667,0.175,blue
0.1683,0.195,blue
0.235,0.0633,blue
0.2617,0.05,blue
0.0933,0.04,blue
0.0817,0.0367,blue
0.1217,0.0833,blue
0.125,0.08,blue
0.19,0.1233,blue
0.1917,0.125,blue
0.2733,0.1417,blue
0.2617,0.135,blue
0.3317,0.0833,blue
0.33,0.08,blue
0.2,0.005,blue
0.2067,0.0033,blue
0.4,0.0517,blue
0.3,0.0033,blue
0.3717,0.0033,blue
0.3717,0.015,blue
0.3883,0.015,blue
0.3867,0.0317,blue
0.35,0.0333,blue
0.3483,0.0683,blue
0.28,0.0717,blue
0.2767,0.1217,blue
0.1133,0.1517,blue
0.0533,0.0417,blue
0.3583,0.0267,blue
0.3967,0.1283,blue
0.06,0.07,blue
0.3017,0.1067,blue
0.11,0.085,blue
0.125,0.0017,blue
0.26,0.005,blue
0.2617,0.0567,blue
0.1783,0.0567,blue
0.175,0.03,blue
0.1033,0.0283,blue
0.1017,0.02,blue
0.0617,0.0217,blue
0.0767,0.09,blue
0.0783,0.095,blue
0.0867,0.1967,blue
0.0867,0.2,blue
0.0883,0.2367,blue
0.085,0.2333,blue
0.0883,0.1333,blue
0.0883,0.1283,blue
0.1,0.04,blue
0.1,0.0367,blue
0.1133,0.02,blue
0.1133,0.0217,blue
0.1267,0.0467,blue
0.1283,0.05,blue
0.1383,0.1517,blue
0.1417,0.155,blue
0.1233,0.13,blue
0.1217,0.1283,blue
0.05,0.0933,blue
0.0433,0.0917,blue
0.02,0.07,blue
0.0183,0.0683,blue
0.055,0.0583,blue
0.0617,0.0567,blue
0.1583,0.0483,blue
0.1617,0.0483,blue
0.2183,0.035,blue
0.225,0.0333,blue
0.1883,0.0183,blue
0.1833,0.0183,blue
0.0683,0.0067,blue
0.065,0.0067,blue
0.1117,0.0017,blue
0.115,0.0067,blue
0.195,0.0133,blue
0.1983,0.0133,blue
0.2117,0.02,blue
0.2083,0.02,blue
0.1783,0.03,blue
0.1767,0.03,blue
0.1533,0.0367,blue
0.1517,0.0367,blue
0.145,0.04,blue
0.1467,0.0433,blue
0.1433,0.0367,blue
0.145,0.0367,blue
0.1367,0.03,blue
0.1367,0.0317,blue
0.1233,0.0283,blue
0.1233,0.045,blue
0.1067,0.0467,blue
0.1067,0.1017,blue
0.0967,0.105,blue
0.095,0.1917,blue
0.09,0.2117,blue
0.0917,0.0417,blue
0.0933,0.0283,blue
0.09,0.0533,blue
0.0883,0.0583,blue
0.09,0.0983,blue
0.0867,0.0533,blue
0.0883,0.0183,blue
0.0833,0.0183,blue
0.0833,0.03,blue
0.0733,0.03,blue
0.075,0.0017,blue
0.07,0,blue
0.07,0.03,blue
0.0733,0.03,blue
0.07,0.01,blue
0.0733,0.0133,blue
0.07,0.07,blue
0.065,0.07,blue
0.065,0.1,blue
0.0517,0.1,blue
0.0517,0.1033,blue
0.0383,0.1,blue
0.04,0.0767,blue
0.0267,0.0767,blue
0.0267,0.0433,blue
0.0167,0.0433,blue
0.015,0.0267,blue
0.0067,0.0267,blue
0.0067,0.035,blue
0.0033,0.035,blue
0.0033,0.0433,blue
0.0167,0.0433,blue
0.0167,0.055,blue
0.0283,0.055,blue
0.0267,0.0883,blue
0.035,0.09,blue
0.0333,0.1117,blue
0.0417,0.1067,blue
0.0417,0.0433,blue
0.105,0.1933,blue
0.105,0.0367,blue
0.11,0.03,blue
0.115,0.2167,blue
0.1083,0.1083,blue
0.105,0.1417,blue
0.1333,0.1233,blue
0.1367,0.1867,blue
0.1967,0.1483,blue
0.19,0.08,blue
0.0967,0.0783,blue
0.0917,0.0533,blue
0.0083,0.0533,blue
0.0117,0.0467,blue
0.0283,0.0467,blue
0.0267,0.0433,blue
0.0117,0.045,blue
0.01,0.0417,blue
0.0067,0.0417,blue
0.1,0.0383,blue
0.0067,0.0383,blue
0.02,0.0467,blue
0.02,0.0917,blue
0.025,0.0917,blue
0.025,0.115,blue
0.0217,0.1117,blue
0.025,0.07,blue
0.02,0.0683,blue
0.0217,0.0017,blue
0.0133,0.0033,blue
0.0133,0.0683,blue
0.0083,0.07,blue
0.01,0.1117,blue
0.005,0.115,blue
0.0067,0.14,blue
0.005,0.1417,blue
0.0067,0.1583,blue
0.0133,0.1617,blue
0.0133,0.1567,blue
0.0183,0.1583,blue
0.0167,0.195,blue
0.02,0.1983,blue
0.0183,0.2383,blue
0.0217,0.2217,blue
0.02,0.14,blue
0.025,0.135,blue
0.0233,0.0583,blue
0.0283,0.0583,blue
0.0267,0.0433,blue
0.0217,0.045,blue
0.0217,0.0567,blue
0.0183,0.0567,blue
0.02,0.0683,blue
0.0217,0.0683,blue
0.025,0.0783,blue
0.0067,0.0783,blue
0.0083,0.0833,blue
0.075,0.0867,blue
0.0767,0.155,blue
0.105,0.155,blue
0.105,0.1067,blue
0.115,0.1,blue
0.115,0.0033,blue
0.1217,0.0067,blue
0.1217,0.0833,blue
0.12,0.0867,blue
0.1217,0.0983,blue
0.1133,0.0917,blue
0.1133,0.0617,blue
0.0983,0.06,blue
0.0983,0.04,blue
0.08,0.04,blue
0.0317,0.035,blue
0.11,0.035,blue
0.1133,0.04,blue
0.1383,0.04,blue
0.1367,0.06,blue
0.1067,0.06,blue
0.105,0.09,blue
0.0567,0.1067,blue
0.055,0.0817,blue
0.0167,0.0783,blue
0.0083,0.0083,blue
0.0167,0.23,blue
0.0167,0.0683,blue
0.03,0.0683,blue
0.0417,0.26,blue
0.0017,0.0433,blue
0.02,0.1533,blue
0.115,0.1083,blue
0.0783,0.1717,blue
0.0683,0.14,blue
0.12,0.0767,blue
0.1783,0.075,blue
0.175,0.0483,blue
0.2433,0.0483,blue
0.2317,0.0383,blue
0.1383,0.015,blue
0.135,0.015,blue
0.1,0.0017,blue
0.0917,0.0017,blue
0.1017,0.0167,blue
0.1017,0.0183,blue
0.2,0.05,blue
0.2067,0.0517,blue
0.3033,0.0933,blue
0.2917,0.105,blue
0.15,0.0617,blue
0.1417,0.0333,blue
0.0017,0.2483,blue
0.0017,0.2633,blue
0.0667,0.0917,blue
0.07,0.3417,blue
0.0533,0.0067,blue
0.0533,0.0017,blue
0.0233,0.0233,blue
0.0217,0.0233,blue
0.0033,0.1017,blue
0.0017,0.0483,blue
0.005,0.17,blue
0.005,0.2233,blue
0.0067,0.1317,blue
0.0067,0.125,blue
0.015,0.0333,blue
0.015,0.0383,blue
0.0233,0.1067,blue
0.0233,0.1067,blue
0.03,0.0483,blue
0.0317,0.0433,blue
0.03,0.045,blue
0.0317,0.0483,blue
0.0283,0.1117,blue
0.0267,0.1133,blue
0.03,0.1417,blue
0.0267,0.1417,blue
0.03,0.15,blue
0.03,0.15,blue
0.0317,0.145,blue
0.03,0.1467,blue
0.0267,0.14,blue
0.0283,0.14,blue
0.0233,0.1283,blue
0.0233,0.1283,blue
0.02,0.1133,blue
0.02,0.1117,blue
0.0167,0.0967,blue
0.0167,0.0967,blue
0.015,0.0833,blue
0.0167,0.0833,blue
0.015,0.0783,blue
0.0133,0.0783,blue
0.0167,0.0817,blue
0.0167,0.0833,blue
0.015,0.0717,blue
0.0167,0.0717,blue
